"date","Strike","Close"
2015-10-05,"470",0.5
2015-10-05,"475",0.375
2015-10-05,"480",0.375
2015-10-05,"490",0.25
2015-10-05,"500",0.125
2015-10-02,"320",69.5
2015-10-02,"360",32.625
2015-10-02,"370",25
2015-10-02,"375",21.625
2015-10-02,"380",18.5
2015-10-02,"385",15.75
2015-10-02,"390",13.125
2015-10-02,"395",11
2015-10-02,"400",9.125
2015-10-02,"405",7.375
2015-10-02,"410",6
2015-10-02,"415",4.875
2015-10-02,"420",4
2015-10-02,"430",2.625
2015-10-02,"440",1.625
2015-10-02,"450",1
2015-10-02,"455",0.875
2015-10-02,"460",0.75
2015-10-02,"470",0.5
2015-10-02,"480",0.25
2015-10-02,"490",0.25
2015-10-01,"340",49.875
2015-10-01,"350",40.875
2015-10-01,"360",32.625
2015-10-01,"365",28.75
2015-10-01,"370",25.125
2015-10-01,"375",21.75
2015-10-01,"380",18.75
2015-10-01,"385",16
2015-10-01,"390",13.5
2015-10-01,"395",11.375
2015-10-01,"400",9.5
2015-10-01,"405",7.875
2015-10-01,"410",6.5
2015-10-01,"415",5.375
2015-10-01,"420",4.375
2015-10-01,"425",3.5
2015-10-01,"430",2.875
2015-10-01,"435",2.375
2015-10-01,"440",1.875
2015-10-01,"450",1.25
2015-10-01,"460",0.875
2015-10-01,"470",0.625
2015-10-01,"480",0.375
2015-10-01,"490",0.25
2015-10-01,"500",0.25
2015-10-01,"510",0.125
2015-10-01,"540",0.125
2015-10-01,"550",0.125
2015-10-01,"560",0.125
2015-10-01,"600",0.125
2015-09-30,"360",32
2015-09-30,"370",24.625
2015-09-30,"375",21.375
2015-09-30,"380",18.5
2015-09-30,"385",15.75
2015-09-30,"390",13.375
2015-09-30,"395",11.25
2015-09-30,"400",9.375
2015-09-30,"405",7.875
2015-09-30,"410",6.5
2015-09-30,"415",5.375
2015-09-30,"420",4.5
2015-09-30,"425",3.625
2015-09-30,"430",3
2015-09-30,"435",2.5
2015-09-30,"440",2
2015-09-30,"445",1.625
2015-09-30,"450",1.375
2015-09-30,"455",1.125
2015-09-30,"460",0.875
2015-09-30,"465",0.75
2015-09-30,"470",0.625
2015-09-30,"480",0.5
2015-09-30,"490",0.375
2015-09-30,"500",0.25
2015-09-30,"510",0.125
